"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
TSN4012001730,2,PEMA-SN400 남광(동탄),808921
PEMA033060200,2,PEMA-HR1500일강(해남),807023
PEMA013117810,1,PEMA-HR1000에스피(군산),807411
PEMA013058606,1,PEMA-HR1000유진(세종),766621
PEMA023092101,1,PEMA-HR1500도현(양산),807328
PEMA023068500,1,PEMA-HR1500 진일(양산),808896
PEMA033125000,1,PEMA-SR3000F세진(부산),808180
PEMA033045300,1,PEMA-SR2000신성(화순),806110
PEMA013005900,1,PEMA-HR1000구례(구례),774065
PEMA013017800,1,PEMA-HR1000대진(순창),807297
PEMA023112800,1,CSA5000선진(여주),806332
PEMA053041500,1,PEMA-SR2000성진(동탄),807543
PEMA063078013,1,PEMA-SR2000한라엔컴(청주),806965
PEMA383048200,1,PEMA-SR2000유니온(포항),782751
PEMA013060900,1,PEMA-HR1000일양(영동),774541
PEMA263001100,1,PEMA-SR3000F우성(강릉),783586
PEMA023019800,1,PEMA-PR1000도봉(여주),805067
PEMA033084300,1,PEMA-HR1500 호성(순천),808919
PEMA013076910,1,PEMA-SR2000경동(대구),808889
PEMA043128800,1,PEMA-SR3000F 한통(부산),808904
PEMA013035305,1,PEMA-HR1000삼표(인천),765994
TSN4012011123,1,PEMA-SN400우원(진접),808319
PCA021027605,1,ARE-580FX(50%)크로아티아P,807082
PEMA043080700,1,CSA5000한진(화순),804843
PEMA013048300,1,CSA5000강산(대산),765222
PEMA043069400,1,CSA5000천마(광주),807472
PEMA193027400,1,PEMA-SPR미륭(부산),808824
PEMA023008000,1,PEMA-HR1000금오(구미),805663
PEMA043107900,1,CSA5000삼성(안성),808370
PEMA013048505,1,PEMA-HR1000F/A쌍용(성남),766313
PEMA013035308,1,PEMA-HR1000삼표(화성),804241
PEMA043078008,1,PEMA-HR1000한라(여주),807322
PEMA053038600,1,PEMA-HR1500서전(서산),808271
PEMA023133200,1,CSA5000 경도(경주),809022
PEMA033126700,1,PEMA-SR2000합천(합천),808389
PEMA013132701,1,PEMA-HR1500 나라(서산),809029
TSN4012006108,1,PEMA-SN400산하(의령),808172
PEMA033003100,1,CSA5000경인(인천),804928
TSN4012011125,1,PEMA-SN400우원(안성),808846
PEMA533022500,1,PEMA-SR3000F쌍용(정관),783480
PEMA053072101,1,CSA5000태명실업(천안),808754
PEMA013078018,1,PEMA-HR1000한라(원주),805800
PEMA023078017,1,PEMA-HR1500한라(온산),808401
PEMA053008700,1,PEMA-HR1000기영(창녕),806071
PEMA013049304,1,PEMA-HR1000아세아(용인),766399
PEMA013109500,1,PEMA-HR1000케이엠(포항),805899
